2021-04-20 10:37:33 startup archives install
2021-04-20 10:37:33 install base-passwd:amd64 <none> 3.5.49
2021-04-20 10:37:33 status half-installed base-passwd:amd64 3.5.49
2021-04-20 10:37:33 status unpacked base-passwd:amd64 3.5.49
2021-04-20 10:37:33 configure base-passwd:amd64 3.5.49 3.5.49
2021-04-20 10:37:33 status half-configured base-passwd:amd64 3.5.49
2021-04-20 10:37:33 status installed base-passwd:amd64 3.5.49
2021-04-20 10:37:33 startup archives install
2021-04-20 10:37:33 install base-files:amd64 <none> 11ubuntu19
2021-04-20 10:37:33 status half-installed base-files:amd64 11ubuntu19
2021-04-20 10:37:33 status unpacked base-files:amd64 11ubuntu19
2021-04-20 10:37:33 configure base-files:amd64 11ubuntu19 11ubuntu19
2021-04-20 10:37:33 status half-configured base-files:amd64 11ubuntu19
2021-04-20 10:37:34 status installed base-files:amd64 11ubuntu19
2021-04-20 10:37:34 startup archives install
2021-04-20 10:37:34 upgrade dpkg 1.20.9ubuntu1 1.20.9ubuntu1
2021-04-20 10:37:34 status half-configured dpkg 1.20.9ubuntu1
2021-04-20 10:37:34 status unpacked dpkg 1.20.9ubuntu1
2021-04-20 10:37:34 status half-installed dpkg 1.20.9ubuntu1
2021-04-20 10:37:34 status unpacked dpkg:amd64 1.20.9ubuntu1
2021-04-20 10:37:34 configure dpkg:amd64 1.20.9ubuntu1 1.20.9ubuntu1
2021-04-20 10:37:34 status half-configured dpkg:amd64 1.20.9ubuntu1
2021-04-20 10:37:34 status installed dpkg:amd64 1.20.9ubuntu1
2021-04-20 10:37:34 startup archives install
2021-04-20 10:37:34 install libc6:amd64 <none> 2.33-0ubuntu5
2021-04-20 10:37:34 status half-installed libc6:amd64 2.33-0ubuntu5
2021-04-20 10:37:35 status unpacked libc6:amd64 2.33-0ubuntu5
2021-04-20 10:37:35 configure libc6:amd64 2.33-0ubuntu5 2.33-0ubuntu5
2021-04-20 10:37:35 status half-configured libc6:amd64 2.33-0ubuntu5
2021-04-20 10:37:35 status installed libc6:amd64 2.33-0ubuntu5
2021-04-20 10:37:35 startup archives install
2021-04-20 10:37:35 install perl-base:amd64 <none> 5.32.1-3ubuntu2
2021-04-20 10:37:35 status half-installed perl-base:amd64 5.32.1-3ubuntu2
2021-04-20 10:37:35 status unpacked perl-base:amd64 5.32.1-3ubuntu2
2021-04-20 10:37:36 configure perl-base:amd64 5.32.1-3ubuntu2 5.32.1-3ubuntu2
2021-04-20 10:37:36 status half-configured perl-base:amd64 5.32.1-3ubuntu2
2021-04-20 10:37:36 status installed perl-base:amd64 5.32.1-3ubuntu2
2021-04-20 10:37:36 startup archives install
2021-04-20 10:37:36 install mawk:amd64 <none> 1.3.4.20200120-2
2021-04-20 10:37:36 status half-installed mawk:amd64 1.3.4.20200120-2
2021-04-20 10:37:36 status unpacked mawk:amd64 1.3.4.20200120-2
2021-04-20 10:37:36 configure mawk:amd64 1.3.4.20200120-2 1.3.4.20200120-2
2021-04-20 10:37:36 status half-configured mawk:amd64 1.3.4.20200120-2
2021-04-20 10:37:36 status installed mawk:amd64 1.3.4.20200120-2
2021-04-20 10:37:36 startup archives unpack
2021-04-20 10:37:36 upgrade base-files:amd64 11ubuntu19 11ubuntu19
2021-04-20 10:37:36 status half-configured base-files:amd64 11ubuntu19
2021-04-20 10:37:36 status unpacked base-files:amd64 11ubuntu19
